Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
2012,Total,Female,BAKU,City proper,Estimate - de facto,"Final figure, complete",2013,1077797,
2012,Total,Female,Ganja,City proper,Estimate - de facto,"Final figure, complete",2013,165734,
2012,Total,Female,Sumgayit,City proper,Estimate - de facto,"Final figure, complete",2013,163846,
2012,Total,Both Sexes,Baranovichi,City proper,Estimate - de jure,"Final figure, complete",2013,170263,
2012,Total,Both Sexes,Bobruisk,City proper,Estimate - de jure,"Final figure, complete",2013,216825,
2012,Total,Both Sexes,Borisov,City proper,Estimate - de jure,"Final figure, complete",2013,145769,
2012,Total,Both Sexes,Brest,City proper,Estimate - de jure,"Final figure, complete",2013,323674,
2012,Total,Both Sexes,Gomel,Urban agglomeration,Estimate - de jure,"Final figure, complete",2013,501719,
2012,Total,Both Sexes,Grodno,City proper,Estimate - de jure,"Final figure, complete",2013,349543,
2012,Total,Both Sexes,MINSK,City proper,Estimate - de jure,"Final figure, complete",2013,1893063,
2012,Total,Both Sexes,Mogilev,City proper,Estimate - de jure,"Final figure, complete",2013,365101,
2012,Total,Both Sexes,Mozir,City proper,Estimate - de jure,"Final figure, complete",2013,110932,
2012,Total,Both Sexes,Novopolotsk,Urban agglomeration,Estimate - de jure,"Final figure, complete",2013,100792,
2012,Total,Both Sexes,Orsha,Urban agglomeration,Estimate - de jure,"Final figure, complete",2013,116898,
2012,Total,Both Sexes,Pinsk,City proper,Estimate - de jure,"Final figure, complete",2013,134924,
2012,Total,Both Sexes,Soligorsk,City proper,Estimate - de jure,"Final figure, complete",2013,104352,
2012,Total,Both Sexes,Vitebsk,Urban agglomeration,Estimate - de jure,"Final figure, complete",2013,360707,
2012,Total,Male,Baranovichi,City proper,Estimate - de jure,"Final figure, complete",2013,76893,
2012,Total,Male,Bobruisk,City proper,Estimate - de jure,"Final figure, complete",2013,101297,
2012,Total,Male,Borisov,City proper,Estimate - de jure,"Final figure, complete",2013,68491,
2012,Total,Male,Brest,City proper,Estimate - de jure,"Final figure, complete",2013,148873,
2012,Total,Male,Gomel,Urban agglomeration,Estimate - de jure,"Final figure, complete",2013,228300,
2012,Total,Male,Grodno,City proper,Estimate - de jure,"Final figure, complete",2013,159158,
2012,Total,Male,MINSK,City proper,Estimate - de jure,"Final figure, complete",2013,864566,
2012,Total,Male,Mogilev,City proper,Estimate - de jure,"Final figure, complete",2013,167973,
2012,Total,Male,Mozir,City proper,Estimate - de jure,"Final figure, complete",2013,52726,
2012,Total,Male,Novopolotsk,Urban agglomeration,Estimate - de jure,"Final figure, complete",2013,47903,
2012,Total,Male,Orsha,Urban agglomeration,Estimate - de jure,"Final figure, complete",2013,54129,
2012,Total,Male,Pinsk,City proper,Estimate - de jure,"Final figure, complete",2013,62517,
2012,Total,Male,Soligorsk,City proper,Estimate - de jure,"Final figure, complete",2013,49033,
2012,Total,Male,Vitebsk,Urban agglomeration,Estimate - de jure,"Final figure, complete",2013,159782,
2012,Total,Female,Baranovichi,City proper,Estimate - de jure,"Final figure, complete",2013,93370,
2012,Total,Female,Bobruisk,City proper,Estimate - de jure,"Final figure, complete",2013,115528,
2012,Total,Female,Borisov,City proper,Estimate - de jure,"Final figure, complete",2013,77278,
2012,Total,Female,Brest,City proper,Estimate - de jure,"Final figure, complete",2013,174801,
2012,Total,Female,Gomel,Urban agglomeration,Estimate - de jure,"Final figure, complete",2013,273419,
2012,Total,Female,Grodno,City proper,Estimate - de jure,"Final figure, complete",2013,190385,
2012,Total,Female,MINSK,City proper,Estimate - de jure,"Final figure, complete",2013,1028497,
2012,Total,Female,Mogilev,City proper,Estimate - de jure,"Final figure, complete",2013,197128,
2012,Total,Female,Mozir,City proper,Estimate - de jure,"Final figure, complete",2013,58206,
2012,Total,Female,Novopolotsk,Urban agglomeration,Estimate - de jure,"Final figure, complete",2013,52889,
2012,Total,Female,Orsha,Urban agglomeration,Estimate - de jure,"Final figure, complete",2013,62769,
2012,Total,Female,Pinsk,City proper,Estimate - de jure,"Final figure, complete",2013,72407,
2012,Total,Female,Soligorsk,City proper,Estimate - de jure,"Final figure, complete",2013,55319,
2012,Total,Female,Vitebsk,Urban agglomeration,Estimate - de jure,"Final figure, complete",2013,200925,
2012,Total,Both Sexes,Burgas,City proper,Estimate - de jure,"Final figure, complete",2013,199284,
2012,Total,Both Sexes,Pleven,City proper,Estimate - de jure,"Final figure, complete",2013,105045,
2012,Total,Both Sexes,Plovdiv,City proper,Estimate - de jure,"Final figure, complete",2013,338657,
2012,Total,Both Sexes,Ruse,City proper,Estimate - de jure,"Final figure, complete",2013,148742,
2012,Total,Both Sexes,SOFIA,City proper,Estimate - de jure,"Final figure, complete",2013,1210820,
2012,Total,Both Sexes,Stara Zagora,City proper,Estimate - de jure,"Final figure, complete",2013,137649,
2012,Total,Both Sexes,Varna,City proper,Estimate - de jure,"Final figure, complete",2013,334763,
2012,Total,Male,Burgas,City proper,Estimate - de jure,"Final figure, complete",2013,96462,
2012,Total,Male,Pleven,City proper,Estimate - de jure,"Final figure, complete",2013,50720,
2012,Total,Male,Plovdiv,City proper,Estimate - de jure,"Final figure, complete",2013,161523,
2012,Total,Male,Ruse,City proper,Estimate - de jure,"Final figure, complete",2013,71960,
2012,Total,Male,SOFIA,City proper,Estimate - de jure,"Final figure, complete",2013,576142,
2012,Total,Male,Stara Zagora,City proper,Estimate - de jure,"Final figure, complete",2013,66670,
2012,Total,Male,Varna,City proper,Estimate - de jure,"Final figure, complete",2013,162594,
2012,Total,Female,Burgas,City proper,Estimate - de jure,"Final figure, complete",2013,102822,
2012,Total,Female,Pleven,City proper,Estimate - de jure,"Final figure, complete",2013,54325,
2012,Total,Female,Plovdiv,City proper,Estimate - de jure,"Final figure, complete",2013,177134,
2012,Total,Female,Ruse,City proper,Estimate - de jure,"Final figure, complete",2013,76782,
2012,Total,Female,SOFIA,City proper,Estimate - de jure,"Final figure, complete",2013,634678,
2012,Total,Female,Stara Zagora,City proper,Estimate - de jure,"Final figure, complete",2013,70979,
2012,Total,Female,Varna,City proper,Estimate - de jure,"Final figure, complete",2013,172169,
2014,Total,Both Sexes,Alto Hospicio,City proper,Estimate - de facto,"Final figure, complete",2014,107935,5
2014,Total,Both Sexes,Antofagasta,City proper,Estimate - de facto,"Final figure, complete",2014,390832,5
2014,Total,Both Sexes,Arica,City proper,Estimate - de facto,"Final figure, complete",2014,157568,5
2014,Total,Both Sexes,Calama,City proper,Estimate - de facto,"Final figure, complete",2014,147666,5
2014,Total,Both Sexes,Chiguallante,City proper,Estimate - de facto,"Final figure, complete",2014,137070,5
2014,Total,Both Sexes,ChillÃ¡n,City proper,Estimate - de facto,"Final figure, complete",2014,163560,5
2014,Total,Both Sexes,ConcepciÃ_n,City proper,Estimate - de facto,"Final figure, complete",2014,223798,5
2014,Total,Both Sexes,Coronel,City proper,Estimate - de facto,"Final figure, complete",2014,166929,5
2014,Total,Both Sexes,CopiapÃ_,City proper,Estimate - de facto,"Final figure, complete",2014,202749,5
2014,Total,Both Sexes,Coquimbo,City proper,Estimate - de facto,"Final figure, complete",2014,106492,5
2014,Total,Both Sexes,CuricÃ_,City proper,Estimate - de facto,"Final figure, complete",2014,102029,5
2014,Total,Both Sexes,Iquique,City proper,Estimate - de facto,"Final figure, complete",2014,181773,5
2014,Total,Both Sexes,La Serena,City proper,Estimate - de facto,"Final figure, complete",2014,209651,5
2014,Total,Both Sexes,Los Angeles,City proper,Estimate - de facto,"Final figure, complete",2014,145631,5
2014,Total,Both Sexes,Osorno,City proper,Estimate - de facto,"Final figure, complete",2014,148350,5
2014,Total,Both Sexes,Puente Alto,City proper,Estimate - de facto,"Final figure, complete",2014,802109,5
2014,Total,Both Sexes,Puerto Montt,City proper,Estimate - de facto,"Final figure, complete",2014,220800,5
